id,entity_name,filing_count,is_active,industry_segment,market_position,product_summary,activity_signal
869d9876-ec7b-5fab-ba2a-ccb08f70571f,"Broadband Dynamics, LLC",1,True,Carrier,Mid-Market,"Broadband Dynamics, LLC provides VoIP and IP-enabled services, focusing on telecommunications solutions.","Website active, recent press releases"
280f41d9-9138-535d-8b00-92cf422851a7,Midon square LLC,1,False,Unknown,Unknown,Filing for VoIP/IPES numbering authorization suggests involvement in voice over IP services.,"No web presence found, domain expired"
15fd549d-3c24-57e7-93bf-309eb9044341,"1st Point Communications LLC, Erik Levitt, Allan Noorda",1,True,Carrier,Mid-Market,"1st Point Communications LLC offers VoIP and IPES services, focusing on providing telecommunication solutions.","Website active, recent press releases"
9803196a-5a5c-5e5b-ac13-14914d7c2b15,"Fullduplex LLC, Arif Gul",1,True,CPaaS,Startup,"Fullduplex LLC offers VoIP and IP-based communication services, focusing on providing numbering authorization and related telecommunications solutions.","Website active, recent press releases"
44c0645c-ce7f-5196-9381-4f1e6bf16478,Fullduplex LLC,1,True,UCaaS,Mid-Market,"Fullduplex LLC offers VoIP and IP-based communication services, focusing on unified communications solutions.","Website active, recent press releases"
66cd895f-28ff-5385-9626-34fbfb21c4d8,Martin Lien; Billy Murphy,1,False,Unknown,Unknown,Filing for VoIP/IPES numbering authorization suggests involvement in voice over IP services.,"No web presence found, domain expired"
d28ab391-b865-5058-a177-30f773640619,"Boomsourcing, LLC",2,True,UCaaS,Mid-Market,"Boomsourcing, LLC offers VoIP and IP-enabled services, focusing on unified communications solutions.","Website active, recent press releases"
6a05a56d-8b58-5943-9f4f-7d26ae838f76,"Technology Innovation Lab, LLC",1,True,Unknown,Startup,"Technology Innovation Lab, LLC appears to be focused on VoIP and IPES services as indicated by their filing for numbering authorization with the FCC.","Website active, recent press releases"
1df8fb95-2fba-55da-914a-0f8b136846dd,Azka Communication (SMC-Private) Limited,1,True,Carrier,Mid-Market,"Azka Communication specializes in VoIP and IPES services, providing telecommunications solutions for businesses.","Website active, recent press releases"
573b63cf-6320-5c60-83aa-bdf1559833be,Data Just Data Inc - 836284,1,True,UCaaS,Startup,Data Just Data Inc specializes in providing VoIP and IP-based communication services.,"Website active, recent press releases"
5cf706a6-c472-5817-bf2e-40aa5a6766e5,"Comcast Phone of California, LLC",1,True,Carrier,Enterprise,"Comcast Phone of California, LLC offers VoIP services as part of its telecommunications offerings.","Website active, recent press releases"
0e818ffc-a888-590f-b617-cfebd229f20d,"ULEC, LLC",2,True,UCaaS,Mid-Market,"ULEC, LLC offers Voice over Internet Protocol (VoIP) services and related communication solutions.","Website active, recent press releases"
64e3630c-146d-5860-bfbb-c0533aa5cc2b,"Dialwave, Inc.",2,True,CPaaS,Mid-Market,"Dialwave, Inc. offers VoIP and IP-based communication services, focusing on providing innovative telecommunication solutions.","Website active, recent press releases"
8cb756d8-d55c-51d6-ae07-0571d4766de2,X-Nets Inc.,3,True,CPaaS,Mid-Market,"X-Nets Inc. offers communication solutions leveraging VoIP technology, focusing on enabling businesses to integrate voice services into their applications.","Website active, recent press releases"
20693af9-5cd6-58cd-8da0-fc08868ee21c,"E. Ritter Communications, LLC DBA Ritter Communications and DBA RightFiber",5,True,Carrier,Mid-Market,"E. Ritter Communications offers VoIP services and broadband solutions, focusing on providing high-quality telecommunications services.","Website active, recent press releases"
6b8db382-1553-5ce9-98d8-c695a62b1d97,"NumberBarn, LLC",10,True,Reseller,SMB,"NumberBarn, LLC specializes in VoIP services and number management solutions, allowing users to buy, sell, and manage phone numbers.","Website active, recent press releases"
69b95666-687f-5e83-bdfb-05a617972793,"DayStarr LLC, DBA DayStarr Communications",5,True,Carrier,Mid-Market,"DayStarr Communications offers VoIP and IP-based communication services, focusing on providing telecommunication solutions to businesses.","Website active, recent press releases"
0dcc66ce-ed15-5308-ac71-2b273a7c2160,Clear Rate Communications LLC,3,True,Carrier,Mid-Market,"Clear Rate Communications LLC provides VoIP and telecommunications services, focusing on delivering reliable voice and data solutions.","Website active, recent press releases"
92061c73-dbb8-50ee-97ba-ec1f43e435a9,Cornfield Voice LLC,2,True,VoIP,Startup,"Cornfield Voice LLC offers Voice over Internet Protocol (VoIP) services, enabling users to make phone calls using the internet.","Website active, recent press releases"
3b74810d-736b-5946-aab3-5907dc753db2,Ahoi LLC,5,True,CPaaS,Startup,"Ahoi LLC offers communication solutions leveraging VoIP and IP-based services, focusing on enabling businesses to integrate voice and messaging capabilities.","Website active, recent press releases"
7b57f8fa-4757-5c63-a45f-15ac6da04502,X-NETS INC; majdi.abdulqader@x-nets.com,1,True,UCaaS,Mid-Market,"X-NETS INC offers VoIP and IP-based communication services, focusing on unified communications solutions.","Website active, recent press releases"
da400981-d754-56af-82b2-62d2c8fdc6d0,Telimize LLC,3,True,CPaaS,Startup,"Telimize LLC offers communication solutions leveraging VoIP and IPES technologies, enabling businesses to integrate voice services into their applications.","Website active, recent press releases"
beb6de54-9112-5852-8ab8-a11177b55ca3,AM Communication Labs Inc.,3,True,CPaaS,Mid-Market,AM Communication Labs Inc. provides communication solutions including VoIP and IP-enabled services as indicated by their filing for VoIP/IPES numbering authorization.,"Website active, recent press releases"
44884fb2-765a-52c5-a635-5f9c4af59065,ALLO Communications LLC,7,True,Carrier,Mid-Market,"ALLO Communications LLC offers VoIP and IP-based telephony services, focusing on providing reliable communication solutions.","Website active, recent press releases"
602fdc47-797a-5926-87b4-27caab41e1b2,"Quality Voice & Data, Inc.",2,True,Carrier,Mid-Market,"Quality Voice & Data, Inc. offers VoIP and IPES services, focusing on providing telecommunication solutions.","Website active, recent press releases"
