id,entity_name,normalized_name,entity_type,filing_count,latest_filing_date
869d9876-ec7b-5fab-ba2a-ccb08f70571f,"Broadband Dynamics, LLC",broadband dynamics,Company,1,2026-01-27
280f41d9-9138-535d-8b00-92cf422851a7,Midon square LLC,midon square,Company,1,2024-03-29
15fd549d-3c24-57e7-93bf-309eb9044341,"1st Point Communications LLC, Erik Levitt, Allan Noorda",1st point communications erik levitt allan noorda,Company,1,2023-11-17
9803196a-5a5c-5e5b-ac13-14914d7c2b15,"Fullduplex LLC, Arif Gul",fullduplex arif gul,Company,1,2023-11-15
44c0645c-ce7f-5196-9381-4f1e6bf16478,Fullduplex LLC,fullduplex,Company,1,2023-09-18
66cd895f-28ff-5385-9626-34fbfb21c4d8,Martin Lien; Billy Murphy,martin lien billy murphy,Company,1,2021-11-23
d28ab391-b865-5058-a177-30f773640619,"Boomsourcing, LLC",boomsourcing,Company,2,2021-06-02
6a05a56d-8b58-5943-9f4f-7d26ae838f76,"Technology Innovation Lab, LLC",technology innovation lab,Company,1,2020-06-23
1df8fb95-2fba-55da-914a-0f8b136846dd,Azka Communication (SMC-Private) Limited,azka communication smc private,Company,1,2026-01-15
573b63cf-6320-5c60-83aa-bdf1559833be,Data Just Data Inc - 836284,data just data 836284,Company,1,2025-10-16
5cf706a6-c472-5817-bf2e-40aa5a6766e5,"Comcast Phone of California, LLC",comcast phone of california,Company,1,2025-09-19
0e818ffc-a888-590f-b617-cfebd229f20d,"ULEC, LLC",ulec,Company,2,2025-09-16
64e3630c-146d-5860-bfbb-c0533aa5cc2b,"Dialwave, Inc.",dialwave,Company,2,2025-09-10
8cb756d8-d55c-51d6-ae07-0571d4766de2,X-Nets Inc.,x nets,Company,3,2025-09-08
20693af9-5cd6-58cd-8da0-fc08868ee21c,"E. Ritter Communications, LLC DBA Ritter Communications and DBA RightFiber",e ritter communications,Company,5,2025-08-01
6b8db382-1553-5ce9-98d8-c695a62b1d97,"NumberBarn, LLC",numberbarn,Company,10,2025-07-07
69b95666-687f-5e83-bdfb-05a617972793,"DayStarr LLC, DBA DayStarr Communications",daystarr,Company,5,2025-06-27
0dcc66ce-ed15-5308-ac71-2b273a7c2160,Clear Rate Communications LLC,clear rate communications,Company,3,2025-06-26
92061c73-dbb8-50ee-97ba-ec1f43e435a9,Cornfield Voice LLC,cornfield voice,Company,2,2025-04-28
3b74810d-736b-5946-aab3-5907dc753db2,Ahoi LLC,ahoi,Company,5,2025-04-08
7b57f8fa-4757-5c63-a45f-15ac6da04502,X-NETS INC; majdi.abdulqader@x-nets.com,x nets majdi abdulqader x nets com,Company,1,2025-04-07
da400981-d754-56af-82b2-62d2c8fdc6d0,Telimize LLC,telimize,Company,3,2025-02-21
beb6de54-9112-5852-8ab8-a11177b55ca3,AM Communication Labs Inc.,am communication labs,Company,3,2025-02-11
44884fb2-765a-52c5-a635-5f9c4af59065,ALLO Communications LLC,allo communications,Company,7,2025-01-23
602fdc47-797a-5926-87b4-27caab41e1b2,"Quality Voice & Data, Inc.",quality voice data,Company,2,2024-12-23
e3244ba0-de1e-56ab-8f36-bdffb4bdebf5,"CallTower, Inc.",calltower,Company,1,2024-11-08
096a412d-beb5-5668-bd7c-aff5266de71e,"TDS Metrocom, LLC",tds metrocom,Company,1,2024-10-11
d2515885-e814-507a-b99d-723d6b53a8be,"TDS Broadband Service, LLC",tds broadband service,Company,2,2024-10-01
afa15055-8b56-5a2a-96a6-bc144e73b032,"Porting.com, LLC",porting com,Company,2,2024-09-24
158ddda6-568a-5686-a187-8405e04551b5,"Verification Technologies, LLC",verification technologies,Company,1,2024-04-19
e7d1fb27-6b6d-5503-bae7-cc1cfa9e186d,"Bandwidth, Inc.",bandwidth,Company,1,2024-04-16
1520c17c-b85d-54e4-b4d2-efe54da8dccc,"BHN IP Enabled Services, LLC",bhn ip enabled services,Company,1,2024-03-14
